dataset,marker,mean,std
ajaib,ANXA1,1.8867999,1.4325083
ajaib,Annexin A2,2.5906734,1.8487732
ajaib,BCAN,0.35533065,0.49032253
ajaib,CD3,0.32282087,0.4849442
ajaib,CD31,0.34290355,0.5333133
ajaib,CD45,0.9035476,0.84936285
ajaib,CD56,0.38731748,0.55113417
ajaib,CD8a,0.10363408,0.2797177
ajaib,CHI3L1,1.2517227,1.0664754
ajaib,DLL3,0.61922073,0.72237915
ajaib,DNA1,1.8383244,1.5781451
ajaib,DNA2,2.1791697,1.8029904
ajaib,EZH2,0.15917648,0.3444679
ajaib,GFAP,3.0861979,2.3386188
ajaib,HIF1a,0.19504488,0.38124502
ajaib,HOPX,1.0162091,0.84970856
ajaib,IBA1,0.7077021,0.863007
ajaib,JARID2-C,0.65877837,0.6773189
ajaib,JARID2-N,1.3351457,1.0416846
ajaib,Ki67,0.39875317,0.630466
ajaib,MOG,0.6731499,0.7067643
ajaib,NKp46,0.3261348,0.4982631
ajaib,NeuN,0.4025644,0.55103904
ajaib,Olig1,0.6364985,0.6482717
ajaib,P2RY12,0.07329095,0.23646952
ajaib,SCD5,0.51204824,0.61683494
ajaib,SLC1A3/EAAT1,1.2096884,1.0621824
ajaib,SMA,1.1120795,1.0155596
ajaib,SNAI1,0.6277812,0.6454764
ajaib,SOD2,1.52386,1.4239427
ajaib,Sox2,1.2062689,1.0686481
ajaib,TGFB,1.2774839,1.2160736
ajaib,TMEM119,0.14108454,0.32875964
ajaib,TNC,1.0776216,0.9862629
bc2,B2M,1.0913177,0.9570048
bc2,CD11c,0.5179493,0.7614665
bc2,CD14,1.1768866,1.0730242
bc2,CD15,0.50928736,0.74698687
bc2,CD16,0.4124157,0.6614149
bc2,CD163,0.22383115,0.5353088
bc2,CD20,0.33072546,0.5818898
bc2,CD206,0.22325876,0.49325815
bc2,CD27,0.37352687,0.57275426
bc2,CD3,0.45524663,0.6790324
bc2,CD303,0.42375585,0.6198073
bc2,CD33,0.7138953,0.80524004
bc2,CD38,0.24351272,0.46662462
bc2,CD4,0.66190803,0.7849515
bc2,CD40,0.42986953,0.6159899
bc2,CD45RA,0.2969163,0.5210544
bc2,CD45RO,1.0931832,1.0120113
bc2,CD68,0.46652392,0.7293658
bc2,CD7,0.46236905,0.7088825
bc2,CD8a,0.3814504,0.68250793
bc2,Carbonic Anhydrase,0.5721002,0.7541853
bc2,DNA1,2.3502564,1.7378116
bc2,DNA2,2.7249131,1.9426922
bc2,Ecad,1.3985403,1.3515
bc2,FOXP3,0.262787,0.4985953
bc2,GrzB,0.5648242,0.7124527
bc2,HLADR,1.1214923,1.2104586
bc2,Histone H3,1.4360414,1.235262
bc2,ICOS,0.34913686,0.5580114
bc2,Ido1,0.43130183,0.6174654
bc2,Ki67,0.8044486,1.1611943
bc2,LAG3,0.12424834,0.31599718
bc2,MPO,0.107310906,0.2820297
bc2,PD1,0.17723635,0.39315665
bc2,PDGFRb,0.33714542,0.60485864
bc2,PDL1,0.31302354,0.53508323
bc2,SMA,0.25577575,0.5342981
bc2,TCF7,0.4746825,0.6585966
bc2,VISTA,0.34632054,0.56615317
bc2,cl.PARP,0.06662108,0.24967027
bengsch,CD103,3.7330017e-05,0.0034692893
bengsch,CD15,0.0037948906,0.040700745
bengsch,CD163,0.01900454,0.09415517
bengsch,CD20,0.0026825126,0.028004544
bengsch,CD204,0.021889782,0.09313599
bengsch,CD3,0.0049988357,0.045708977
bengsch,CD33,0.0018449894,0.025173351
bengsch,CD34,0.005310685,0.0488997
bengsch,CD38,0.0011198582,0.017967174
bengsch,CD39,0.00071273313,0.016530132
bengsch,CD4,0.022521764,0.09574238
bengsch,CD45,0.02413267,0.10022804
bengsch,CD45RO,0.016335169,0.083177246
bengsch,CD68,0.013230273,0.07946098
bengsch,CD69,0.00231411,0.026598277
bengsch,CD8a,0.008587888,0.06371553
bengsch,CK7,0.00059143535,0.012074825
bengsch,CXCR5,0.0004501789,0.008812984
bengsch,CXCR6,0.00012576376,0.006600696
bengsch,Collagen Type I,0.015234645,0.07259197
bengsch,DNA1,0.060100943,0.141262
bengsch,DNA2,0.10120985,0.16706881
bengsch,EOMES,0.00052248954,0.014563367
bengsch,Ecad,0.04409742,0.12472093
bengsch,FOXP3,0.00052574556,0.012941681
bengsch,GrzB,0.0018886265,0.02834759
bengsch,HLADR,0.0242808,0.10116339
bengsch,Histone H3,0.07370914,0.15936896
bengsch,Ki67,0.0024637163,0.02544675
bengsch,LAG3,0.0009763784,0.018108528
bengsch,LYVE1,0.0018886307,0.023818469
bengsch,PD1,0.0012661072,0.02036363
bengsch,PDL1,0.00048629133,0.012137138
bengsch,S6,0.013561702,0.06365383
bengsch,SMA,0.024369989,0.091955535
bengsch,TBET,0.0013670654,0.02266656
bengsch,TCF1,1.0986769e-05,0.0013513775
bengsch,TIGIT,2.838154e-06,0.0009998336
bengsch,TOX,0.00090717827,0.011628287
bengsch,Tim3,0.0034945167,0.036230754
bengsch,beta-Catenin,0.023489663,0.09720118
bengsch,pERK,0.0012568109,0.017341407
bowen-lynch,B2M,0.21626018,0.42402196
bowen-lynch,CCR6,0.07376027,0.20510063
bowen-lynch,CD11b,0.17752409,0.41361564
bowen-lynch,CD11c,0.027302545,0.14731531
bowen-lynch,CD134,0.07370221,0.23691022
bowen-lynch,CD137,0.035486117,0.1636433
bowen-lynch,CD14,0.17828393,0.41920757
bowen-lynch,CD163,0.08009961,0.27560306
bowen-lynch,CD19,0.058258984,0.21847123
bowen-lynch,CD276,0.14297223,0.34122828
bowen-lynch,CD3,0.10536787,0.2948848
bowen-lynch,CD33,0.030214556,0.15145837
bowen-lynch,CD39,0.013218546,0.09989492
bowen-lynch,CD4,0.11240313,0.31690732
bowen-lynch,CD45,0.088474,0.26494607
bowen-lynch,CD45RO,0.06268383,0.21785466
bowen-lynch,CD66b,0.0187602,0.11927008
bowen-lynch,CD68,0.061229136,0.24055478
bowen-lynch,CD73,0.021146055,0.12564924
bowen-lynch,CD8a,0.076002784,0.27571616
bowen-lynch,CD94,0.030314485,0.15017089
bowen-lynch,DNA1,1.1448427,1.5693245
bowen-lynch,DNA2,1.3261478,1.7747663
bowen-lynch,FOXP3,0.20539354,0.40719825
bowen-lynch,GAPDH,0.6229827,0.9025271
bowen-lynch,GrzB,0.01881336,0.11822124
bowen-lynch,HLADR,0.1020177,0.2970339
bowen-lynch,ICOS,0.041762657,0.174797
bowen-lynch,Ido1,0.7490025,0.99027115
bowen-lynch,Ki67,0.15366082,0.4209811
bowen-lynch,LAG3,0.010476761,0.08291539
bowen-lynch,MPO,0.035111774,0.15828711
bowen-lynch,NaK-ATPase,0.5978036,0.9831284
bowen-lynch,PD1,0.024240637,0.13402615
bowen-lynch,PDL1,0.04592221,0.18345222
bowen-lynch,Tim3,0.23587063,0.4784572
bowen-lynch,VISTA,0.12521937,0.30563152
bowen-lynch,panCK,0.8440805,1.4750981
cho_2025,Arg1,0.092814215,0.27222216
cho_2025,CD134,0.034660064,0.16837859
cho_2025,CD137,0.03633909,0.17175835
cho_2025,CD15,0.15203136,0.38976008
cho_2025,CD163,0.12612903,0.3956172
cho_2025,CD20,0.060410816,0.19831724
cho_2025,CD206,0.13380606,0.37707037
cho_2025,CD3,0.14783956,0.3510605
cho_2025,CD4,0.1608946,0.3735177
cho_2025,CD45RA,0.13459198,0.33430287
cho_2025,CD45RO,0.04129955,0.18365794
cho_2025,CD47,0.04462624,0.19176377
cho_2025,CD57,0.043490592,0.19253533
cho_2025,CD68,0.35974735,0.6761287
cho_2025,CD73,0.034239788,0.17174989
cho_2025,CD74,0.13685913,0.3411162
cho_2025,CD86,0.12675838,0.3296943
cho_2025,CD8a,0.124633946,0.33353373
cho_2025,Collagen Type I,0.21955755,0.5088377
cho_2025,DCSIGN,0.17581442,0.39205888
cho_2025,DNA1,1.596309,2.1141746
cho_2025,DNA2,1.8120601,2.36593
cho_2025,FOXP3,0.07407881,0.25046542
cho_2025,GrzB,0.020200191,0.12900779
cho_2025,HLADR,0.16868316,0.40364426
cho_2025,ICOS,0.22173944,0.4736584
cho_2025,Ki67,0.050554566,0.2312214
cho_2025,LAG3,0.05071001,0.20268312
cho_2025,PD1,0.043400604,0.18716471
cho_2025,PDL1,0.031513978,0.15767549
cho_2025,PM2,0.50477713,0.7622422
cho_2025,PM3,0.53484803,0.82660055
cho_2025,PM4,0.4312915,0.68170786
cho_2025,PTPN22,0.06553011,0.23765641
cho_2025,Podoplanin,0.0601018,0.22241539
cho_2025,TIGIT,0.045276128,0.19701996
cho_2025,TOX,0.010099826,0.08566869
cho_2025,Tim3,0.15397945,0.37814403
cho_2025,VISTA,0.03678945,0.1736282
cho_2025,pSTAT3,0.03171404,0.16259086
cho_2025,panCK,0.46243203,0.82662576
cords,CCL21,0.027515192,0.1440939
cords,CD10,0.25160038,0.49875516
cords,CD146,0.13504347,0.34547797
cords,CD15,0.39745766,0.7199061
cords,CD20,0.061521653,0.21049464
cords,CD248,0.28448284,0.52641857
cords,CD3,0.08525508,0.26762044
cords,CD31-vWF,0.13094555,0.35103855
cords,CD34,0.13739571,0.352273
cords,CD4,0.08658451,0.2647516
cords,CD45,0.5066642,0.7495717
cords,CD68,0.20484802,0.47428107
cords,CD73,0.12159153,0.31774747
cords,CD8a,0.08938545,0.29124352
cords,CXCL12,0.07300765,0.24431796
cords,Cadherin-11,0.10952852,0.3095969
cords,Carbonic Anhydrase,0.11948717,0.3133043
cords,Caveolin-1,0.26229498,0.5037378
cords,Collagen Type I,0.2200518,0.50563645
cords,DNA1,1.623275,2.1225126
cords,DNA2,1.830106,2.3664238
cords,FAP,0.18219574,0.40266895
cords,FOXP3,0.13166796,0.35958406
cords,FSP1,0.08923293,0.2740813
cords,HLADR,0.31722412,0.6376437
cords,Histone H3,0.4543488,0.7733628
cords,Ido1,0.10576001,0.29597497
cords,K-Cadherin,0.04648372,0.18759371
cords,Ki67,0.19737992,0.4286624
cords,LYVE1,0.12871273,0.32758275
cords,MMP11,0.18863378,0.4080249
cords,MMP9,0.19345942,0.416162
cords,MPO,0.04197681,0.18808496
cords,PD1,0.057877246,0.21127884
cords,PDGFRb,0.20508778,0.4251456
cords,PNAd,0.07942408,0.2660159
cords,Podoplanin,0.09226401,0.275438
cords,SMA,0.17340332,0.46856642
cords,TCF1/7,0.09027275,0.27277395
cords,VCAM1,0.14445025,0.3503442
cords,Vimentin,0.5666927,1.0726424
cords,p75,0.027219046,0.14387853
cords,panCK,0.66697586,1.1512239
cords-fibro,CCL21,0.035703182,0.16233718
cords-fibro,CD10,0.22001015,0.4360651
cords-fibro,CD11b,0.07614734,0.25557268
cords-fibro,CD11c,0.051892184,0.21443242
cords-fibro,CD146,0.0903795,0.27675173
